App,LocalLeaks,GlobalLeaks,TotalLeaks
啊丽青菜摊丨横县_34,3,0,3
啊丽食品摊丨鹿寨县_64,3,0,3
啊义丨砀山县_68,3,0,3
啊乐丨小卖部_8,3,0,3
啊乐吖丨桥西店_66,3,0,3
啊乐小炒快餐丨潮南店_15,3,0,3
啊乐的小卖铺_36,0,0,0
啊九天气_1,1,0,1
啊九小卖部_4,9,0,9
啊九越的小商店_6,0,0,0
啊二丨平南县_19,3,0,3
啊二丨梅县店_34,3,0,3
啊二日杂店_16,2,0,2
啊二青槟榔丨林梧店_39,3,0,3
啊云建材市场_29,2,0,2
啊云摩配丨柳江店_51,3,0,3
啊五果蔬_1,682,0,682
啊京食品店2丨石狮市_73,3,0,3
啊亮丨潮阳店_11,3,0,3
啊亮便利店丨梅列店_7,3,0,3
啊亮包子铺丨南安市_26,3,0,3
啊亮发艺_9,9,0,9
啊亮小吃_7,9,0,9
啊亮小店_4,2,0,2
啊亮小超市丨包河店_12,3,0,3
啊亮生蚝丨瑞安市_33,3,0,3
啊亮生蚝丨芗城店_39,3,0,3
啊亮生鲜水果_3,14,0,14
啊亮私房菜_1,0,0,0
啊亮蔬菜零售丨兴宾店_33,3,0,3
啊亮除甲醛_18,9,0,9
啊亮饰品源头厂家_31,2,0,2
啊仁奇味鸡煲丨冰啤_75,3,0,3
啊任的斑马铺子_40,2,0,2
啊企_7,5,0,5
啊伊丫丫手工丨钦北店_71,3,0,3
啊伊呦新零售_1,2,0,2
啊伊呦素材库_12,19,0,19
啊伊哟母婴_1,0,0,0
啊优咸水鸭丨埇桥店_29,3,0,3
啊伟5300的小商店_12,0,0,0
啊伟丨萧山店_70,3,0,3
啊伟品牌折扣店_3,0,0,0
啊伟品牌鞋服_42,2,0,2
啊伟小店丨宁都县_77,3,0,3
啊伟影咖_2,7,0,7
啊伟服装批发丨福绵店_36,3,0,3
啊伟杂货铺_19,9,0,9
啊伟水果店丨无为县_6,3,0,3
啊伟渔莊丨惠安县_15,3,0,3
啊伟电动工具丨荔城店_58,3,0,3
啊伟的小店丨城关店_8,3,0,3
啊伟的小铺子_9,9,0,9
啊伟砂锅粥丨潮阳店_33,3,0,3
啊伟肠粉丨潮安店_50,3,0,3
啊伟饺子店丨分店_49,3,0,3
啊伟麻辣诱惑丨新昌东街_5,3,0,3
啊何咸杂店丨揭西县_44,3,0,3
